2024-01-04 20:00:04,210 WARNING   * Debugger is active!
2024-01-04 20:00:04,225 INFO      * Debugger PIN: 676-444-496
2024-01-04 20:00:27,435 INFO     127.0.0.1 - - [04/Jan/2024 20:00:27] "GET / HTTP/1.1" 200 -
2024-01-04 20:00:30,165 INFO     127.0.0.1 - - [04/Jan/2024 20:00:30] "GET /prediction HTTP/1.1" 200 -
2024-01-04 20:01:00,361 INFO     127.0.0.1 - - [04/Jan/2024 20:01:00] "[35m[1mPOST /prediction HTTP/1.1[0m" 500 -
2024-01-04 20:01:00,395 INFO     127.0.0.1 - - [04/Jan/2024 20:01:00] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
2024-01-04 20:01:00,397 INFO     127.0.0.1 - - [04/Jan/2024 20:01:00] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
2024-01-04 20:01:00,461 INFO     127.0.0.1 - - [04/Jan/2024 20:01:00] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
2024-01-04 20:01:00,791 INFO     127.0.0.1 - - [04/Jan/2024 20:01:00] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
2024-01-04 20:03:36,937 INFO      * Detected change in 'd:\\used car ml project\\src\\utils.py', reloading
