iter	RMSE
287	2.3192692
288	2.317436169
289	2.3123958
290	2.30695123
291	2.303624038
292	2.30106233
293	2.296987034
294	2.295189666
295	2.290325007
296	2.283710711
297	2.277959048
298	2.275326446
299	2.267529646
300	2.263453154
301	2.260083256
302	2.258162932
303	2.253541593
304	2.250083288
305	2.246685877
306	2.24515795
307	2.2416933
308	2.241081422
309	2.239916088
310	2.23471552
311	2.234138668
312	2.233591117
313	2.230576605
314	2.230056214
315	2.22827504
316	2.227190075
317	2.224371607
318	2.221849075
319	2.220498452
320	2.216624899
321	2.215241649
322	2.210923361
323	2.209934829
324	2.207061872
325	2.203165244
326	2.200344541
327	2.196741614
328	2.192565705
329	2.189942144
330	2.187474964
331	2.18304606
332	2.178371932
333	2.175567194
334	2.169591945
335	2.164561032
336	2.161816519
337	2.156732279
338	2.153673919
339	2.153179757
340	2.150535976
341	2.148110125
342	2.146649653
343	2.144082042
344	2.14182018
345	2.139687751
346	2.1380481
347	2.13545568
348	2.13463091
349	2.133080838
350	2.130653406
351	2.129268366
352	2.124700235
353	2.120408253
354	2.118074288
355	2.114283868
356	2.11218899
357	2.108516053
358	2.106955336
359	2.103576266
360	2.098818111
361	2.09566641
362	2.094336272
363	2.090245867
364	2.087940368
365	2.085048317
366	2.083084703
367	2.079888924
368	2.07526147
369	2.071815262
370	2.07047788
371	2.066975381
372	2.06483103
373	2.061253069
374	2.056820841
375	2.053520341
376	2.052157207
377	2.049189883
378	2.047474478
379	2.045787005
380	2.043720455
381	2.040822516
382	2.038011596
383	2.035514298
384	2.03327541
385	2.030119628
386	2.027491328
387	2.02594683
388	2.024724248
389	2.021610243
390	2.019091628
391	2.017398586
392	2.014082358
393	2.011393874
394	2.00743799
395	2.005660164
396	2.003336557
397	1.999318592
398	1.996117076
399	1.992837695
400	1.990975467
401	1.988331965
402	1.985908017
403	1.984640401
404	1.981409051
405	1.978743745
406	1.974981642
407	1.972357137
408	1.969259317
409	1.965853268
410	1.962920631
411	1.96047337
412	1.958021811
413	1.954456177
414	1.950998578
415	1.948201926
416	1.945901272
417	1.94402065
418	1.941489024
419	1.939220315
420	1.937564932
421	1.936075191
422	1.932932028
423	1.928623353
424	1.926908631
425	1.92467125
426	1.922667935
427	1.920169164
428	1.918139364
429	1.915512917
430	1.913769711
431	1.910666504
432	1.909687611
433	1.907016883
434	1.905192528
435	1.90353188
436	1.901680421
437	1.900463879
438	1.899501435
439	1.898221541
440	1.894593613
441	1.893061588
442	1.889737873
443	1.887941689
444	1.885621079
445	1.882854611
446	1.880634844
447	1.880218499
448	1.877495311
449	1.87556551
450	1.872417832
451	1.872045881
452	1.868316983
453	1.865978161
454	1.862983913
455	1.860992913
456	1.85810358
457	1.854414755
458	1.852599442
459	1.850561675
460	1.847165196
461	1.845569091
462	1.84333441
463	1.841224734
464	1.838239778
465	1.836401613
466	1.834102837
467	1.830921894
468	1.828880651
469	1.828154517
470	1.826462204
471	1.82561968
472	1.823090335
473	1.822178436
474	1.821589802
475	1.818233381
476	1.81798377
477	1.817161306
478	1.815001954
479	1.813675686
480	1.81280302
481	1.810434993
482	1.807881949
483	1.806290831
484	1.805142614
485	1.80308126
486	1.801051262
487	1.799674
488	1.799400257
489	1.797497267
490	1.795610902
491	1.794111532
492	1.792679959
493	1.79125213
494	1.791060317
495	1.789287717
496	1.786925984
497	1.785796966
498	1.784211721
499	1.783550045
500	1.780423707
501	1.778966025
502	1.777029014
503	1.776373327
504	1.773723883
505	1.77245425
506	1.770755119
507	1.76917587
508	1.767610874
509	1.766361188
510	1.76429327
511	1.761954192
512	1.760283198
513	1.757567194
514	1.7556946
515	1.754694953
516	1.753157424
517	1.751811032
518	1.749908279
519	1.748086304
520	1.746340163
521	1.745990606
522	1.744661567
523	1.743759048
524	1.741830024
525	1.740547966
526	1.739242951
527	1.738629162
528	1.736140893
529	1.733823835
530	1.732893989
531	1.731078827
532	1.728982969
533	1.727724591
534	1.726027858
535	1.724313519
536	1.721347441
537	1.720339288
538	1.718633811
539	1.717335412
540	1.714368691
541	1.712599837
542	1.711339804
543	1.709183332
544	1.707749137
545	1.706645462
546	1.705280071
547	1.70490885
548	1.703615415
549	1.702642877
550	1.702307277
551	1.700443559
552	1.698241423
553	1.696061066
554	1.694407081
555	1.693047284
556	1.690347619
557	1.689919839
558	1.687726844
559	1.684325195
560	1.683016527
561	1.680937695
562	1.67993293
563	1.678789591
564	1.67739082
565	1.675412825
566	1.674174052
567	1.673049022
568	1.672026801
569	1.671877015
570	1.670878114
571	1.669564986
572	1.668909696
573	1.667761419
574	1.666538533
575	1.664452767
576	1.66249002
577	1.66124961
578	1.660119399
579	1.659168784
580	1.658219676
581	1.656311616
582	1.655741042
583	1.654656018
584	1.65308217
585	1.651663042
586	1.650949773
587	1.648793641
588	1.647725778
589	1.646125216
590	1.645579145
591	1.64346998
592	1.64232122
593	1.640492181
594	1.639512001
595	1.638405185
596	1.636979508
597	1.634115936
598	1.633509327
599	1.631452631
600	1.63017768
601	1.629458669
602	1.627774478
603	1.625993508
604	1.624162993
605	1.624029918
606	1.622781734
607	1.621395624
608	1.620338235
609	1.618986215
610	1.617110064
611	1.615246466
612	1.614136676
613	1.612787907
614	1.610487881
615	1.609024269
616	1.607491316
617	1.606217909
618	1.604653045
619	1.603548181
620	1.60142284
621	1.60023816
622	1.599172078
623	1.598353442
624	1.596374031
625	1.594564017
626	1.593470016
627	1.592626359
628	1.591464719
629	1.589742371
630	1.588875823
631	1.587982087
632	1.587314903
633	1.5858155
634	1.584484177
635	1.583784788
636	1.583047956
637	1.581936598
638	1.580905693
639	1.579983349
640	1.57895173
641	1.578221265
642	1.576059149
643	1.574339207
644	1.573847853
645	1.571629053
646	1.570620419
647	1.568956045
648	1.566179551
649	1.565450348
650	1.564680325
651	1.56326911
652	1.562936282
653	1.561469187
654	1.560530091
655	1.558810688
656	1.557946455
657	1.557330262
658	1.55516486
659	1.554089741
660	1.552931001
661	1.552620177
662	1.551006078
663	1.550357859
664	1.549459841
665	1.548359581
666	1.546187953
667	1.545520946
668	1.544490683
669	1.543660576
670	1.542304317
671	1.541799991
672	1.539731526
673	1.537895337
674	1.536395268
675	1.535975392
676	1.53391264
677	1.533752285
678	1.532989909
679	1.532082208
680	1.530650631
681	1.529208822
682	1.528118585
683	1.527031812
684	1.524831242
685	1.523003768
686	1.521076819
687	1.520391771
688	1.519584247
689	1.518517929
690	1.51754339
691	1.516820657
692	1.515980612
693	1.514298816
694	1.514238541
695	1.513014287
696	1.511251838
697	1.510547463
698	1.509474436
699	1.50875498
700	1.506971457
701	1.506382716
702	1.505779138
703	1.505505722
704	1.504840146
705	1.504190569
706	1.502593832
707	1.501868523
708	1.500822098
709	1.499651536
710	1.498514776
711	1.496770667
712	1.494939676
713	1.493776413
714	1.493294027
715	1.492704841
716	1.492218828
717	1.490932621
718	1.489923194
719	1.489530462
720	1.48823685
721	1.486764917
722	1.486425412
723	1.485210191
724	1.484306173
725	1.483288631
726	1.482400123
727	1.481214043
728	1.479852735
729	1.478966356
730	1.47779042
731	1.477361022
732	1.476725531
733	1.47549707
734	1.473825259
735	1.473179861
736	1.470785894
737	1.469805173
738	1.468084164
739	1.467357468
740	1.466988678
741	1.465633647
742	1.464597788
743	1.463090266
744	1.461716839
745	1.460783845
746	1.46027581
747	1.459734665
748	1.459270323
749	1.458813212
750	1.457803559
751	1.456031724
752	1.454899743
753	1.454144801
754	1.453099947
755	1.451731666
756	1.450484127
757	1.449538759
758	1.448516104
759	1.447236648
760	1.446203867
761	1.444603179
762	1.443869409
763	1.443213193
764	1.442328566
765	1.441392774
766	1.440588016
767	1.439379076
768	1.438424368
769	1.437219825
770	1.435852741
771	1.434788135
772	1.434060855
773	1.433209243
774	1.432448734
775	1.431627079
776	1.430929396
777	1.430601363
778	1.429373245
779	1.427836898
780	1.427136783
781	1.426057726
782	1.425398878
783	1.424849283
784	1.423934288
785	1.423136319
786	1.422330979
787	1.421711635
788	1.421296123
789	1.419348745
790	1.418246733
791	1.417319346
792	1.416310554
793	1.415134047
794	1.414786374
795	1.414193494
796	1.413873991
797	1.413126253
798	1.412635268
799	1.411751776
800	1.411034945
801	1.409639158
802	1.409175623
803	1.408164551
804	1.407075078
805	1.405885792
806	1.405417809
807	1.403712571
808	1.402665695
809	1.401485401
810	1.399643641
811	1.398865072
812	1.3975393
813	1.396203799
814	1.39551395
815	1.394271883
816	1.393636696
817	1.393141421
818	1.392661954
819	1.39224318
820	1.391329181
821	1.391032242
822	1.390761051
823	1.390094347
824	1.389240953
825	1.387801413
826	1.386783616
827	1.386317507
828	1.386000822
829	1.385743061
830	1.384523314
831	1.383239117
832	1.382280588
833	1.38120686
834	1.380702625
835	1.379886714
836	1.378564879
837	1.377858873
838	1.377216261
839	1.376623233
840	1.375531667
841	1.374727147
842	1.373853563
843	1.373256762
844	1.37235651
845	1.371860457
846	1.370319765
847	1.369062026
848	1.368388435
849	1.367136238
850	1.366322192
851	1.365235404
852	1.364035785
853	1.363577264
854	1.361807994
855	1.360856887
856	1.360581989
857	1.359744747
858	1.358478798
859	1.357717915
860	1.357230866
861	1.356826134
862	1.356282561
863	1.355325101
864	1.354218949
865	1.353388609
866	1.35186699
867	1.350910675
868	1.350480224
869	1.349727926
870	1.349321579
871	1.348436966
872	1.347542196
873	1.346247669
874	1.345041017
875	1.344469871
876	1.343281083
877	1.342757108
878	1.341726358
879	1.339982172
880	1.339496571
881	1.338983587
882	1.338209967
883	1.337515583
884	1.337266011
885	1.336542118
886	1.335546996
887	1.33419361
888	1.333606352
889	1.332756198
890	1.332475035
891	1.332181217
892	1.331935113
893	1.330966904
894	1.33058194
895	1.328866668
896	1.328213131
897	1.32728647
898	1.326168159
899	1.325388005
900	1.323842206
901	1.323263926
902	1.322310831
903	1.321596925
904	1.320932217
905	1.320008226
906	1.319532839
907	1.318799286
908	1.31762898
909	1.316929636
910	1.316290362
911	1.31492251
912	1.314279213
913	1.313892001
914	1.313208906
915	1.312311185
916	1.311808319
917	1.311189875
918	1.310492161
919	1.30983788
920	1.309083901
921	1.308494249
922	1.30763667
923	1.307427475
924	1.306496651
925	1.305986997
926	1.305592358
927	1.305197782
928	1.304308152
929	1.303462045
930	1.302148569
931	1.301297683
932	1.300735274
933	1.300117705
934	1.299372521
935	1.298922102
936	1.298273443
937	1.297825276
938	1.297614822
939	1.297076038
940	1.296336309
941	1.295627526
942	1.294279513
943	1.293618061
944	1.292273053
945	1.292060645
946	1.291295929
947	1.291094515
948	1.290462276
949	1.28978866
950	1.289024424
951	1.288553605
952	1.287727645
953	1.287006242
954	1.286814079
955	1.285794361
956	1.285383054
957	1.284152965
958	1.283137576
959	1.282484527
960	1.281777059
961	1.281634732
962	1.280940063
963	1.280369956
964	1.279860458
965	1.279531009
966	1.279195434
967	1.27883007
968	1.27769364
969	1.277487334
970	1.276561283
971	1.276152499
972	1.275726279
973	1.274542315
974	1.274163784
975	1.273808203
976	1.273173675
977	1.27218711
978	1.271485899
979	1.27058291
980	1.270056929
981	1.269557839
982	1.268956657
983	1.268415063
984	1.267656191
985	1.267269637
986	1.266161032
987	1.265499079
988	1.265222084
989	1.264467339
990	1.26374275
991	1.263568847
992	1.262748494
993	1.261791731
994	1.261445114
995	1.26096441
996	1.260505279
997	1.259809444
998	1.259305039
999	1.258654838
