2024-01-04 23:08:04,156 WARNING   * Debugger is active!
2024-01-04 23:08:04,156 INFO      * Debugger PIN: 534-220-074
2024-01-04 23:08:06,953 INFO     127.0.0.1 - - [04/Jan/2024 23:08:06] "GET / HTTP/1.1" 200 -
2024-01-04 23:08:08,735 INFO     127.0.0.1 - - [04/Jan/2024 23:08:08] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2024-01-04 23:08:09,854 INFO     127.0.0.1 - - [04/Jan/2024 23:08:09] "GET /prediction HTTP/1.1" 200 -
2024-01-04 23:08:35,221 INFO     127.0.0.1 - - [04/Jan/2024 23:08:35] "POST /prediction HTTP/1.1" 200 -
2024-01-04 23:10:40,208 INFO     127.0.0.1 - - [04/Jan/2024 23:10:40] "[35m[1mPOST /prediction HTTP/1.1[0m" 500 -
2024-01-04 23:10:40,275 INFO     127.0.0.1 - - [04/Jan/2024 23:10:40] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=style.css HTTP/1.1[0m" 304 -
2024-01-04 23:10:40,291 INFO     127.0.0.1 - - [04/Jan/2024 23:10:40] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=debugger.js HTTP/1.1[0m" 304 -
2024-01-04 23:10:40,358 INFO     127.0.0.1 - - [04/Jan/2024 23:10:40] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
2024-01-04 23:10:41,177 INFO     127.0.0.1 - - [04/Jan/2024 23:10:41] "[36mGET /prediction?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1[0m" 304 -
2024-01-04 23:10:59,077 INFO     127.0.0.1 - - [04/Jan/2024 23:10:59] "POST /prediction HTTP/1.1" 200 -
2024-01-04 23:12:32,147 INFO      * Detected change in 'd:\\used car ml project\\app.py', reloading
